Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Average Current,Power Factor
III Year B-Wing,"Aug 14 2025, 06:00:00",50.06,12.07,120.70,157.43,1574.30,0.12,4327530.00,238.52,0.58,0.94
III Year B-Wing,"Aug 14 2025, 05:00:00",50.06,11.94,119.40,157.30,1573.00,0.12,4327400.00,239.22,0.58,0.95
III Year B-Wing,"Aug 14 2025, 04:00:00",50.02,11.80,118.00,157.16,1571.60,0.12,4327260.00,241.39,0.59,0.95
III Year B-Wing,"Aug 14 2025, 03:00:00",49.97,11.67,116.70,157.03,1570.30,0.12,4327130.00,240.55,0.58,0.94
III Year B-Wing,"Aug 14 2025, 02:00:00",49.96,11.54,115.40,156.90,1569.00,0.12,4327000.00,239.73,0.58,0.94
III Year B-Wing,"Aug 14 2025, 01:00:00",50.03,11.41,114.10,156.77,1567.70,0.12,4326870.00,240.21,0.59,0.94
III Year B-Wing,"Aug 14 2025, 00:00:00",50.03,11.28,112.80,156.64,1566.40,0.12,4326739.50,242.85,0.59,0.94
III Year B-Wing,"Aug 13 2025, 23:00:00",50.02,11.27,112.70,156.50,1565.00,0.12,4326600.00,242.21,0.58,0.94
III Year B-Wing,"Aug 13 2025, 22:00:00",50.00,11.14,111.40,156.37,1563.70,0.12,4326469.50,240.68,0.58,0.94
III Year B-Wing,"Aug 13 2025, 21:00:00",50.02,10.94,109.40,156.17,1561.70,0.12,4326270.00,240.80,0.58,0.94
III Year B-Wing,"Aug 13 2025, 20:00:00",50.08,10.81,108.10,156.04,1560.40,0.12,4326139.50,239.83,0.58,0.94
III Year B-Wing,"Aug 13 2025, 18:00:00",50.09,10.48,104.80,155.71,1557.10,0.12,4325810.00,239.82,1.59,1.00
III Year B-Wing,"Aug 13 2025, 17:00:00",50.10,10.09,100.90,155.32,1553.20,0.12,4325420.00,241.73,1.58,1.00
III Year B-Wing,"Aug 13 2025, 16:00:00",49.99,9.71,97.10,154.94,1549.40,0.12,4325040.00,242.69,1.59,1.00
III Year B-Wing,"Aug 13 2025, 15:00:00",49.93,8.89,88.90,154.12,1541.20,0.12,4324219.50,235.35,4.08,-1.00
III Year B-Wing,"Aug 13 2025, 13:00:00",50.06,6.68,66.80,151.91,1519.10,0.11,4322010.00,237.20,4.09,-1.00
III Year B-Wing,"Aug 13 2025, 12:00:00",50.02,5.72,57.20,150.95,1509.50,0.11,4321050.00,236.34,4.08,-1.00
III Year B-Wing,"Aug 13 2025, 11:00:00",49.75,4.76,47.60,149.99,1499.90,0.11,4320090.00,236.37,4.15,-1.00
III Year B-Wing,"Aug 13 2025, 10:00:00",50.07,3.85,38.50,149.08,1490.80,0.11,4319179.50,236.51,4.10,-1.00
III Year B-Wing,"Aug 13 2025, 09:00:00",50.07,2.42,24.20,147.65,1476.50,0.11,4317750.00,232.63,7.12,-1.00
III Year B-Wing,"Aug 13 2025, 08:00:00",49.93,1.29,12.90,146.52,1465.20,0.11,4316620.00,232.87,4.01,-1.00
III Year B-Wing,"Aug 13 2025, 05:00:00",50.07,0.67,6.70,145.90,1459.00,0.11,4316000.00,243.56,0.59,0.94
III Year B-Wing,"Aug 13 2025, 04:00:00",50.02,0.54,5.40,145.77,1457.70,0.11,4315870.00,244.26,0.59,0.94
III Year B-Wing,"Aug 13 2025, 03:00:00",50.02,0.40,4.00,145.63,1456.30,0.11,4315730.00,243.80,0.59,0.94
III Year B-Wing,"Aug 13 2025, 02:00:00",50.01,0.27,2.70,145.50,1455.00,0.11,4315600.00,242.65,0.59,0.94
III Year B-Wing,"Aug 13 2025, 01:00:00",50.06,0.13,1.30,145.36,1453.60,0.11,4315460.00,241.58,0.59,0.94
III Year B-Wing,"Aug 13 2025, 00:00:00",50.01,14.67,146.70,145.23,1452.30,0.11,4315330.00,239.17,0.58,0.94
III Year B-Wing,"Aug 12 2025, 21:00:00",50.05,31.25,312.50,144.84,1448.40,0.11,4314940.00,239.09,0.58,0.94
III Year B-Wing,"Aug 12 2025, 19:00:00",50.03,30.98,309.80,144.57,1445.70,0.11,4314670.00,237.31,0.58,0.94
III Year B-Wing,"Aug 12 2025, 18:00:00",50.05,30.85,308.50,144.44,1444.40,0.11,4314540.00,238.55,0.58,0.95
III Year B-Wing,"Aug 12 2025, 17:00:00",50.06,30.72,307.20,144.31,1443.10,0.11,4314409.50,239.95,1.75,1.00
III Year B-Wing,"Aug 12 2025, 16:00:00",50.00,30.32,303.20,143.91,1439.10,0.11,4314010.00,235.42,1.78,1.00
III Year B-Wing,"Aug 12 2025, 14:00:00",49.96,26.95,269.50,140.54,1405.40,0.11,4310639.50,228.12,8.94,-1.00
III Year B-Wing,"Aug 12 2025, 13:00:00",50.05,24.92,249.20,138.51,1385.10,0.10,4308610.00,233.60,8.91,-1.00
III Year B-Wing,"Aug 12 2025, 12:00:00",49.99,22.88,228.80,136.47,1364.70,0.10,4306570.00,230.07,5.32,-1.00
III Year B-Wing,"Aug 12 2025, 11:00:00",50.04,21.87,218.70,135.46,1354.60,0.10,4305560.00,233.99,4.15,-1.00
III Year B-Wing,"Aug 12 2025, 10:00:00",50.04,20.67,206.70,134.26,1342.60,0.10,4304360.00,229.60,7.26,-1.00
III Year B-Wing,"Aug 12 2025, 09:00:00",49.97,19.10,191.00,132.69,1326.90,0.10,4302790.00,231.29,7.22,-1.00
III Year B-Wing,"Aug 12 2025, 08:00:00",50.03,18.04,180.40,131.63,1316.30,0.10,4301730.00,234.20,2.98,-1.00
III Year B-Wing,"Aug 12 2025, 07:00:00",49.99,17.77,177.70,131.36,1313.60,0.10,4301460.00,237.99,0.58,0.94
III Year B-Wing,"Aug 12 2025, 06:00:00",50.03,17.64,176.40,131.23,1312.30,0.10,4301330.00,237.91,0.58,0.94
III Year B-Wing,"Aug 12 2025, 05:00:00",50.04,17.51,175.10,131.10,1311.00,0.10,4301199.50,241.53,0.59,0.94
III Year B-Wing,"Aug 12 2025, 04:00:00",50.08,17.38,173.80,130.97,1309.70,0.10,4301070.00,243.45,0.59,0.94
III Year B-Wing,"Aug 12 2025, 03:00:00",49.97,17.24,172.40,130.83,1308.30,0.10,4300929.50,242.77,0.59,0.94
III Year B-Wing,"Aug 12 2025, 02:00:00",49.95,17.11,171.10,130.70,1307.00,0.10,4300800.00,240.99,0.58,0.94
III Year B-Wing,"Aug 12 2025, 01:00:00",49.93,16.97,169.70,130.56,1305.60,0.10,4300659.50,242.43,0.59,0.94
III Year B-Wing,"Aug 12 2025, 00:00:00",50.05,16.84,168.40,130.43,1304.30,0.10,4300530.00,240.79,0.59,0.94
III Year B-Wing,"Aug 11 2025, 23:00:00",50.06,19.92,199.20,130.30,1303.00,0.10,4300400.00,243.23,0.59,0.94
III Year B-Wing,"Aug 11 2025, 22:00:00",50.08,19.78,197.80,130.16,1301.60,0.10,4300260.00,239.46,0.58,0.94
III Year B-Wing,"Aug 11 2025, 21:00:00",50.06,19.61,196.10,129.99,1299.90,0.10,4300090.00,239.41,2.45,0.58
III Year B-Wing,"Aug 11 2025, 20:00:00",50.06,19.28,192.80,129.66,1296.60,0.10,4299760.00,242.37,2.49,0.57
III Year B-Wing,"Aug 11 2025, 19:00:00",49.98,19.09,190.90,129.47,1294.70,0.10,4299570.00,241.07,0.58,0.94
III Year B-Wing,"Aug 11 2025, 18:00:00",50.05,18.56,185.60,128.94,1289.40,0.10,4299040.00,242.22,1.58,1.00
III Year B-Wing,"Aug 11 2025, 17:00:00",50.06,18.18,181.80,128.56,1285.60,0.10,4298659.50,242.56,1.58,1.00
III Year B-Wing,"Aug 11 2025, 14:00:00",49.98,14.47,144.70,124.85,1248.50,0.09,4294949.50,230.05,8.50,-1.00
III Year B-Wing,"Aug 11 2025, 13:00:00",50.16,12.45,124.50,122.83,1228.30,0.09,4292929.50,236.31,9.08,-1.00
III Year B-Wing,"Aug 11 2025, 12:00:00",49.97,10.52,105.20,120.90,1209.00,0.09,4291000.00,233.80,5.70,-1.00
III Year B-Wing,"Aug 11 2025, 11:00:00",50.02,9.09,90.90,119.47,1194.70,0.09,4289570.00,236.81,6.43,-1.00
III Year B-Wing,"Aug 11 2025, 10:00:00",49.95,7.58,75.80,117.96,1179.60,0.09,4288060.00,233.92,6.45,-1.00
III Year B-Wing,"Aug 11 2025, 09:00:00",50.08,5.95,59.50,116.33,1163.30,0.09,4286429.50,231.70,8.61,-1.00
III Year B-Wing,"Aug 11 2025, 08:00:00",50.08,4.29,42.90,114.67,1146.70,0.09,4284770.00,233.27,2.97,-1.00
III Year B-Wing,"Aug 11 2025, 07:00:00",49.99,4.01,40.10,114.39,1143.90,0.09,4284489.50,239.64,0.58,0.94
III Year B-Wing,"Aug 11 2025, 06:00:00",50.05,3.88,38.80,114.26,1142.60,0.09,4284360.00,237.21,0.58,0.95
III Year B-Wing,"Aug 11 2025, 05:00:00",49.98,3.75,37.50,114.13,1141.30,0.09,4284230.00,240.20,0.58,0.94
III Year B-Wing,"Aug 11 2025, 04:00:00",49.95,3.62,36.20,114.00,1140.00,0.09,4284100.00,242.72,0.59,0.94
III Year B-Wing,"Aug 11 2025, 03:00:00",49.93,3.48,34.80,113.86,1138.60,0.09,4283960.00,242.12,0.59,0.94
III Year B-Wing,"Aug 11 2025, 02:00:00",50.00,3.35,33.50,113.73,1137.30,0.09,4283830.00,242.10,0.59,0.94
III Year B-Wing,"Aug 11 2025, 01:00:00",49.96,3.22,32.20,113.60,1136.00,0.09,4283699.50,243.41,0.59,0.94
III Year B-Wing,"Aug 11 2025, 00:00:00",50.05,3.08,30.80,113.46,1134.60,0.09,4283560.00,242.07,0.59,0.94
III Year B-Wing,"Aug 10 2025, 23:00:00",49.98,8.90,89.00,113.33,1133.30,0.08,4283429.50,241.08,0.58,0.94
III Year B-Wing,"Aug 10 2025, 22:00:00",50.03,8.76,87.60,113.19,1131.90,0.08,4283290.00,239.83,0.59,0.94
III Year B-Wing,"Aug 10 2025, 21:00:00",49.99,8.62,86.20,113.05,1130.50,0.08,4283150.00,237.66,0.58,0.94
III Year B-Wing,"Aug 10 2025, 20:00:00",50.06,8.49,84.90,112.92,1129.20,0.08,4283020.00,238.63,0.58,0.95
III Year B-Wing,"Aug 10 2025, 19:00:00",49.95,8.36,83.60,112.79,1127.90,0.08,4282889.50,239.28,0.58,0.95
III Year B-Wing,"Aug 10 2025, 18:00:00",50.06,8.23,82.30,112.66,1126.60,0.08,4282760.00,241.46,0.58,0.94
III Year B-Wing,"Aug 10 2025, 17:00:00",50.04,8.09,80.90,112.52,1125.20,0.08,4282620.00,245.03,0.59,0.94
III Year B-Wing,"Aug 10 2025, 16:00:00",50.00,7.96,79.60,112.39,1123.90,0.08,4282489.50,245.54,0.59,0.94
III Year B-Wing,"Aug 10 2025, 15:00:00",50.00,7.82,78.20,112.25,1122.50,0.08,4282350.00,242.65,0.59,0.94
III Year B-Wing,"Aug 10 2025, 14:00:00",50.02,7.69,76.90,112.12,1121.20,0.08,4282219.50,241.43,0.59,0.94
III Year B-Wing,"Aug 10 2025, 13:00:00",50.05,7.55,75.50,111.98,1119.80,0.08,4282080.00,241.55,0.59,0.94
III Year B-Wing,"Aug 10 2025, 12:00:00",50.02,7.42,74.20,111.85,1118.50,0.08,4281949.50,241.72,0.59,0.94
III Year B-Wing,"Aug 10 2025, 11:00:00",50.02,7.29,72.90,111.72,1117.20,0.08,4281820.00,243.27,0.59,0.94
III Year B-Wing,"Aug 10 2025, 10:00:00",50.00,7.15,71.50,111.58,1115.80,0.08,4281679.50,243.42,0.59,0.94
III Year B-Wing,"Aug 10 2025, 09:00:00",50.10,7.02,70.20,111.45,1114.50,0.08,4281550.00,240.58,0.58,0.94
III Year B-Wing,"Aug 10 2025, 08:00:00",50.04,6.88,68.80,111.31,1113.10,0.08,4281409.50,241.44,0.58,0.94
III Year B-Wing,"Aug 10 2025, 07:00:00",50.04,6.75,67.50,111.18,1111.80,0.08,4281280.00,238.51,0.58,0.94
III Year B-Wing,"Aug 10 2025, 06:00:00",50.03,6.62,66.20,111.05,1110.50,0.08,4281150.00,240.17,0.58,0.94
III Year B-Wing,"Aug 10 2025, 05:00:00",50.01,6.49,64.90,110.92,1109.20,0.08,4281020.00,241.57,0.58,0.94
III Year B-Wing,"Aug 10 2025, 04:00:00",50.02,6.35,63.50,110.78,1107.80,0.08,4280880.00,242.77,0.58,0.94
III Year B-Wing,"Aug 10 2025, 03:00:00",49.97,6.22,62.20,110.65,1106.50,0.08,4280750.00,242.20,0.58,0.94
III Year B-Wing,"Aug 10 2025, 02:00:00",49.98,6.08,60.80,110.51,1105.10,0.08,4280610.00,243.92,0.59,0.94
III Year B-Wing,"Aug 10 2025, 00:00:00",50.04,5.82,58.20,110.25,1102.50,0.08,4280350.00,243.51,0.59,0.94
III Year B-Wing,"Aug 09 2025, 23:00:00",49.98,21.19,211.90,110.11,1101.10,0.08,4280210.00,242.12,0.59,0.94
III Year B-Wing,"Aug 09 2025, 22:00:00",50.09,21.06,210.60,109.98,1099.80,0.08,4280080.00,240.46,0.58,0.94
III Year B-Wing,"Aug 09 2025, 21:00:00",50.01,20.93,209.30,109.85,1098.50,0.08,4279949.50,240.74,0.58,0.94
III Year B-Wing,"Aug 09 2025, 19:00:00",50.03,20.66,206.60,109.58,1095.80,0.08,4279679.50,241.00,0.58,0.94
III Year B-Wing,"Aug 09 2025, 18:00:00",50.07,20.53,205.30,109.45,1094.50,0.08,4279550.00,243.10,0.59,0.94
III Year B-Wing,"Aug 09 2025, 17:00:00",50.00,20.39,203.90,109.31,1093.10,0.08,4279409.50,242.79,0.59,0.94
III Year B-Wing,"Aug 09 2025, 16:00:00",50.03,20.26,202.60,109.18,1091.80,0.08,4279280.00,243.09,0.59,0.94
III Year B-Wing,"Aug 09 2025, 15:00:00",49.93,19.96,199.60,108.88,1088.80,0.08,4278980.00,238.15,1.60,1.00
III Year B-Wing,"Aug 09 2025, 14:00:00",50.15,19.58,195.80,108.50,1085.00,0.08,4278600.00,239.99,1.60,1.00
III Year B-Wing,"Aug 09 2025, 13:00:00",50.21,19.21,192.10,108.13,1081.30,0.08,4278230.00,245.17,1.23,0.99
III Year B-Wing,"Aug 09 2025, 12:00:00",50.10,18.92,189.20,107.84,1078.40,0.08,4277940.00,239.12,1.23,0.99
III Year B-Wing,"Aug 09 2025, 11:00:00",50.00,18.54,185.40,107.46,1074.60,0.08,4277560.00,241.29,1.60,1.00
III Year B-Wing,"Aug 09 2025, 10:00:00",50.15,18.16,181.60,107.08,1070.80,0.08,4277179.50,238.87,1.60,1.00
III Year B-Wing,"Aug 09 2025, 09:00:00",50.08,17.78,177.80,106.70,1067.00,0.08,4276800.00,240.61,1.60,1.00
III Year B-Wing,"Aug 09 2025, 08:00:00",50.04,17.46,174.60,106.38,1063.80,0.08,4276480.00,237.62,0.58,0.95
III Year B-Wing,"Aug 09 2025, 07:00:00",50.01,17.33,173.30,106.25,1062.50,0.08,4276350.00,239.71,0.58,0.95
III Year B-Wing,"Aug 09 2025, 06:00:00",50.13,17.20,172.00,106.12,1061.20,0.08,4276219.50,237.71,0.57,0.95
III Year B-Wing,"Aug 09 2025, 05:00:00",50.05,16.88,168.80,105.80,1058.00,0.08,4275900.00,240.13,2.46,0.58
III Year B-Wing,"Aug 09 2025, 04:00:00",50.04,16.54,165.40,105.46,1054.60,0.08,4275560.00,241.42,2.48,0.57
III Year B-Wing,"Aug 09 2025, 03:00:00",50.02,16.20,162.00,105.12,1051.20,0.08,4275219.50,240.65,2.47,0.57
III Year B-Wing,"Aug 09 2025, 02:00:00",49.96,15.85,158.50,104.77,1047.70,0.08,4274870.00,241.32,2.48,0.57
III Year B-Wing,"Aug 09 2025, 00:00:00",50.04,15.17,151.70,104.09,1040.90,0.08,4274190.00,242.26,2.50,0.57
III Year B-Wing,"Aug 08 2025, 23:00:00",50.02,25.38,253.80,103.74,1037.40,0.08,4273840.00,240.67,2.43,0.60
III Year B-Wing,"Aug 08 2025, 22:00:00",50.04,25.25,252.50,103.61,1036.10,0.08,4273710.00,240.43,0.58,0.94
III Year B-Wing,"Aug 08 2025, 21:00:00",50.05,25.12,251.20,103.48,1034.80,0.08,4273580.00,238.39,0.58,0.94
III Year B-Wing,"Aug 08 2025, 20:00:00",50.05,24.99,249.90,103.35,1033.50,0.08,4273449.50,239.04,0.58,0.95
III Year B-Wing,"Aug 08 2025, 19:00:00",50.07,24.85,248.50,103.21,1032.10,0.08,4273310.00,240.87,0.58,0.94
III Year B-Wing,"Aug 08 2025, 18:00:00",50.08,24.72,247.20,103.08,1030.80,0.08,4273179.50,241.62,0.59,0.95
III Year B-Wing,"Aug 08 2025, 17:00:00",49.87,24.59,245.90,102.95,1029.50,0.08,4273050.00,242.79,0.59,0.94
III Year B-Wing,"Aug 08 2025, 16:00:00",50.05,24.46,244.60,102.82,1028.20,0.08,4272920.00,240.61,0.59,0.95
III Year B-Wing,"Aug 08 2025, 14:00:00",50.07,21.60,216.00,99.96,999.60,0.07,4270060.00,236.72,7.83,-1.00
III Year B-Wing,"Aug 08 2025, 12:00:00",50.04,17.87,178.70,96.23,962.30,0.07,4266330.00,231.98,7.67,-1.00
III Year B-Wing,"Aug 08 2025, 11:00:00",50.14,16.18,161.80,94.54,945.40,0.07,4264639.50,237.57,6.93,-1.00
III Year B-Wing,"Aug 08 2025, 10:00:00",49.99,14.27,142.70,92.63,926.30,0.07,4262730.00,234.32,8.56,-1.00
III Year B-Wing,"Aug 08 2025, 09:00:00",50.03,12.68,126.80,91.04,910.40,0.07,4261139.50,234.87,6.77,-1.00
III Year B-Wing,"Aug 08 2025, 08:00:00",50.00,11.57,115.70,89.93,899.30,0.07,4260030.00,238.08,2.98,-1.00
III Year B-Wing,"Aug 08 2025, 07:00:00",50.03,11.36,113.60,89.72,897.20,0.07,4259820.00,236.99,0.58,0.95
III Year B-Wing,"Aug 08 2025, 06:00:00",50.04,11.23,112.30,89.59,895.90,0.07,4259690.00,238.52,0.58,0.94
III Year B-Wing,"Aug 08 2025, 05:00:00",50.05,11.10,111.00,89.46,894.60,0.07,4259560.00,240.07,0.58,0.94
III Year B-Wing,"Aug 08 2025, 04:00:00",49.99,10.97,109.70,89.33,893.30,0.07,4259429.50,240.93,0.59,0.94
III Year B-Wing,"Aug 08 2025, 03:00:00",49.97,10.83,108.30,89.19,891.90,0.07,4259290.00,243.57,0.58,0.94
III Year B-Wing,"Aug 08 2025, 02:00:00",50.04,10.70,107.00,89.06,890.60,0.07,4259159.50,243.67,0.59,0.94
III Year B-Wing,"Aug 08 2025, 01:00:00",50.01,10.57,105.70,88.93,889.30,0.07,4259030.00,241.02,0.58,0.94
III Year B-Wing,"Aug 07 2025, 23:00:00",50.02,20.70,207.00,88.66,886.60,0.07,4258760.00,240.24,0.58,0.94
III Year B-Wing,"Aug 07 2025, 19:00:00",50.08,20.20,202.00,88.16,881.60,0.07,4258260.00,240.00,0.58,0.95
III Year B-Wing,"Aug 07 2025, 18:00:00",50.12,20.06,200.60,88.02,880.20,0.07,4258120.00,243.23,0.59,0.94
III Year B-Wing,"Aug 07 2025, 17:00:00",50.03,19.93,199.30,87.89,878.90,0.07,4257989.50,242.77,0.58,0.94
III Year B-Wing,"Aug 07 2025, 16:00:00",50.04,19.80,198.00,87.76,877.60,0.07,4257860.00,243.43,0.60,0.95
III Year B-Wing,"Aug 07 2025, 15:00:00",50.09,19.25,192.50,87.21,872.10,0.07,4257310.00,239.73,3.22,-1.00
III Year B-Wing,"Aug 07 2025, 14:00:00",50.09,18.36,183.60,86.32,863.20,0.06,4256420.00,235.23,6.52,-1.00
III Year B-Wing,"Aug 07 2025, 13:00:00",50.04,16.88,168.80,84.84,848.40,0.06,4254940.00,240.69,3.95,-1.00
III Year B-Wing,"Aug 07 2025, 12:00:00",50.01,15.93,159.30,83.89,838.90,0.06,4253989.50,239.92,3.70,-1.00
III Year B-Wing,"Aug 07 2025, 11:00:00",49.91,15.23,152.30,83.19,831.90,0.06,4253290.00,239.54,1.95,1.00
III Year B-Wing,"Aug 07 2025, 10:00:00",50.04,14.53,145.30,82.49,824.90,0.06,4252590.00,237.75,2.93,-1.00
III Year B-Wing,"Aug 07 2025, 09:00:00",50.19,13.28,132.80,81.24,812.40,0.06,4251340.00,235.15,8.48,-1.00
III Year B-Wing,"Aug 07 2025, 08:00:00",50.07,11.49,114.90,79.45,794.50,0.06,4249550.00,235.02,2.57,-1.00
III Year B-Wing,"Aug 07 2025, 07:00:00",49.94,11.20,112.00,79.16,791.60,0.06,4249260.00,237.32,0.58,0.94
III Year B-Wing,"Aug 07 2025, 06:00:00",50.06,11.07,110.70,79.03,790.30,0.06,4249130.00,239.99,0.58,0.94
III Year B-Wing,"Aug 07 2025, 05:00:00",50.02,10.94,109.40,78.90,789.00,0.06,4249000.00,238.94,0.58,0.95
III Year B-Wing,"Aug 07 2025, 04:00:00",50.04,10.80,108.00,78.76,787.60,0.06,4248860.00,241.20,0.58,0.94
III Year B-Wing,"Aug 07 2025, 03:00:00",50.01,10.67,106.70,78.63,786.30,0.06,4248730.00,242.36,0.59,0.94
III Year B-Wing,"Aug 07 2025, 02:00:00",50.01,10.54,105.40,78.50,785.00,0.06,4248600.00,241.04,0.58,0.94
III Year B-Wing,"Aug 07 2025, 01:00:00",50.02,10.41,104.10,78.37,783.70,0.06,4248469.50,241.86,0.58,0.94
III Year B-Wing,"Aug 07 2025, 00:00:00",50.02,10.27,102.70,78.23,782.30,0.06,4248330.00,240.20,0.58,0.94
III Year B-Wing,"Aug 06 2025, 23:00:00",50.03,22.14,221.40,78.08,780.80,0.06,4248179.50,243.33,2.52,0.57
III Year B-Wing,"Aug 06 2025, 22:00:00",50.05,21.81,218.10,77.75,777.50,0.06,4247850.00,239.30,0.58,0.95
III Year B-Wing,"Aug 06 2025, 21:00:00",50.06,21.68,216.80,77.62,776.20,0.06,4247719.50,237.89,0.58,0.95
III Year B-Wing,"Aug 06 2025, 20:00:00",50.03,21.54,215.40,77.48,774.80,0.06,4247580.00,240.67,0.58,0.94
III Year B-Wing,"Aug 06 2025, 19:00:00",50.03,21.41,214.10,77.35,773.50,0.06,4247449.50,238.32,0.58,0.94
III Year B-Wing,"Aug 06 2025, 18:00:00",50.06,21.28,212.80,77.22,772.20,0.06,4247320.00,243.03,0.59,0.94
III Year B-Wing,"Aug 06 2025, 17:00:00",50.07,21.15,211.50,77.09,770.90,0.06,4247190.00,238.42,0.58,0.94
III Year B-Wing,"Aug 06 2025, 16:00:00",50.07,21.04,210.40,76.98,769.80,0.06,4247080.00,242.03,0.59,0.95
III Year B-Wing,"Aug 06 2025, 15:00:00",49.99,20.30,203.00,76.24,762.40,0.06,4246340.00,241.21,4.04,-1.00
III Year B-Wing,"Aug 06 2025, 14:00:00",50.02,19.42,194.20,75.36,753.60,0.06,4245460.00,237.16,3.33,-1.00
III Year B-Wing,"Aug 06 2025, 13:00:00",50.12,18.00,180.00,73.94,739.40,0.06,4244040.00,241.86,4.02,-1.00
III Year B-Wing,"Aug 06 2025, 12:00:00",50.03,17.03,170.30,72.97,729.70,0.05,4243070.00,237.97,4.10,-1.00
III Year B-Wing,"Aug 06 2025, 11:00:00",49.98,16.02,160.20,71.96,719.60,0.05,4242060.00,242.67,4.34,-1.00
III Year B-Wing,"Aug 06 2025, 10:00:00",49.92,14.96,149.60,70.90,709.00,0.05,4241000.00,236.98,4.37,-1.00
III Year B-Wing,"Aug 06 2025, 07:00:00",50.07,12.81,128.10,68.75,687.50,0.05,4238850.00,238.02,0.58,0.95
III Year B-Wing,"Aug 06 2025, 06:00:00",50.07,12.68,126.80,68.62,686.20,0.05,4238719.50,239.04,0.58,0.94
III Year B-Wing,"Aug 06 2025, 05:00:00",50.04,12.55,125.50,68.49,684.90,0.05,4238590.00,238.53,0.58,0.94
III Year B-Wing,"Aug 06 2025, 04:00:00",50.04,12.42,124.20,68.36,683.60,0.05,4238460.00,240.75,0.58,0.94
III Year B-Wing,"Aug 06 2025, 03:00:00",50.01,12.29,122.90,68.23,682.30,0.05,4238330.00,241.96,0.58,0.94
III Year B-Wing,"Aug 06 2025, 02:00:00",49.99,12.15,121.50,68.09,680.90,0.05,4238190.00,242.09,0.58,0.94
III Year B-Wing,"Aug 06 2025, 01:00:00",50.03,12.02,120.20,67.96,679.60,0.05,4238060.00,242.15,0.59,0.94
III Year B-Wing,"Aug 06 2025, 00:00:00",50.08,11.89,118.90,67.83,678.30,0.05,4237929.50,241.52,0.59,0.94
III Year B-Wing,"Aug 05 2025, 22:00:00",50.01,30.09,300.90,67.57,675.70,0.05,4237670.00,238.55,0.58,0.94
III Year B-Wing,"Aug 05 2025, 21:00:00",49.94,29.96,299.60,67.44,674.40,0.05,4237540.00,236.53,0.57,0.94
III Year B-Wing,"Aug 05 2025, 20:00:00",49.93,29.83,298.30,67.31,673.10,0.05,4237409.50,240.72,0.59,0.94
III Year B-Wing,"Aug 05 2025, 19:00:00",50.02,29.70,297.00,67.18,671.80,0.05,4237280.00,243.17,0.58,0.94
III Year B-Wing,"Aug 05 2025, 17:00:00",50.07,29.44,294.40,66.92,669.20,0.05,4237020.00,241.85,0.59,0.94
III Year B-Wing,"Aug 05 2025, 15:00:00",49.92,28.41,284.10,65.89,658.90,0.05,4235989.50,231.37,5.30,-1.00
III Year B-Wing,"Aug 05 2025, 14:00:00",50.05,26.71,267.10,64.19,641.90,0.05,4234290.00,237.53,4.04,-1.00
III Year B-Wing,"Aug 05 2025, 13:00:00",50.18,25.76,257.60,63.24,632.40,0.05,4233340.00,238.68,4.03,-1.00
III Year B-Wing,"Aug 05 2025, 11:00:00",50.00,23.78,237.80,61.26,612.60,0.05,4231360.00,239.41,4.37,-1.00
III Year B-Wing,"Aug 05 2025, 09:00:00",50.10,21.52,215.20,59.00,590.00,0.04,4229100.00,234.56,6.69,-1.00
III Year B-Wing,"Aug 05 2025, 08:00:00",50.11,20.44,204.40,57.92,579.20,0.04,4228020.00,232.55,4.01,-1.00
III Year B-Wing,"Aug 05 2025, 07:00:00",50.06,20.13,201.30,57.61,576.10,0.04,4227710.00,238.41,1.84,0.62
III Year B-Wing,"Aug 05 2025, 06:00:00",50.07,19.85,198.50,57.33,573.30,0.04,4227429.50,238.96,1.85,0.63
III Year B-Wing,"Aug 05 2025, 05:00:00",50.04,19.58,195.80,57.06,570.60,0.04,4227159.50,238.87,1.85,0.63
III Year B-Wing,"Aug 05 2025, 04:00:00",50.09,19.30,193.00,56.78,567.80,0.04,4226880.00,239.67,1.85,0.63
III Year B-Wing,"Aug 05 2025, 03:00:00",50.03,19.03,190.30,56.51,565.10,0.04,4226610.00,239.29,1.86,0.63
III Year B-Wing,"Aug 05 2025, 01:00:00",50.00,18.46,184.60,55.94,559.40,0.04,4226040.00,240.55,1.87,0.62
III Year B-Wing,"Aug 04 2025, 23:00:00",50.06,22.77,227.70,55.45,554.50,0.04,4225550.00,240.07,1.26,0.70
III Year B-Wing,"Aug 04 2025, 22:00:00",50.09,22.56,225.60,55.24,552.40,0.04,4225340.00,238.48,1.26,0.70
III Year B-Wing,"Aug 04 2025, 21:00:00",50.05,22.35,223.50,55.03,550.30,0.04,4225130.00,237.60,1.25,0.71
III Year B-Wing,"Aug 04 2025, 20:00:00",50.04,21.98,219.80,54.66,546.60,0.04,4224760.00,236.70,2.09,0.92
III Year B-Wing,"Aug 04 2025, 19:00:00",50.06,21.52,215.20,54.20,542.00,0.04,4224300.00,238.24,2.10,0.91
III Year B-Wing,"Aug 04 2025, 18:00:00",50.03,21.10,211.00,53.78,537.80,0.04,4223880.00,242.81,0.59,0.94
III Year B-Wing,"Aug 04 2025, 16:00:00",50.07,20.55,205.50,53.23,532.30,0.04,4223330.00,244.12,1.59,1.00
